ctr,ctr
Africa East,"Kenya,Tanzania,Uganda,Ethiopia,Rwanda,Somalia,Eritrea,Burundi,Mozambique,South Sundan,Madagascar,Malawi,Zambia,Djibouti,Mauritius,Seychelles,Zimbabwe,Comoros,Reunion,Mayotte"
Africa West,"Nigeria,Burkina Faso,Sierra Leone,Mauritania,Mali,Liberia,Benin,Guinea-Bissau,Ghana,Ivory Coast,Guinea,Senegal,Togo,Cape Verde,Gambia,Niger,Sao Tome and Principe"
Arab countries,"Algeria,Bahrain,Comoros,Djibouti,Egypt,Iraq,Jordan,Kuwait,Lebanon,Libya,Mauritana,Morocco,Oman,Palestine,Qatar,Saudi Arabia,Somalia,Sudan,Tunisia,United Arab Emirates,Yemen,Syria"
Belgium French,N/A
Belgium Netherl,N/A
Canada French,N/A
Germany East,N/A
South Africa white,N/A
Switzerland French,N/A
Switzerland German,N/A
Albania,Albania
Algeria,Algeria
Argentina,Argentina
Armenia,Armenia
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
Bangladesh,Bangladesh
Belarus,Belarus
Belgium,Belgium
Bosnia,Bosnia and Herzegovina
Brazil,Brazil
Bulgaria,Bulgaria
Burkina Faso,Burkina Faso
Canada,Canada
Chile,Chile
China,China
Colombia,Colombia
Costa Rica,Costa Rica
Croatia,Croatia
Czech Rep,Czech Republic
Denmark,Denmark
Dominican Rep,Dominican Republic
Ecuador,Ecuador
Egypt,Egypt
El Salvador,El Salvador
Estonia,Estonia
Finland,Finland
France,France
Georgia,Georgia
Germany,Germany
Ghana,Ghana
Great Britain,United Kingdom
Greece,Greece
Guatemala,Guatemala
Hong Kong,Hong Kong
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
Iran,Iran
Iraq,Iraq
Ireland,Ireland
Israel,Israel
Italy,Italy
Jamaica,Jamaica
Japan,Japan
Jordan,Jordan
Korea South,Korea
Kyrgyz Rep,Kyrgyzstan
Latvia,Latvia
Lithuania,Lithuania
Luxembourg,Luxembourg
Macedonia Rep,Macedonia
Malaysia,Malaysia
Mali,Mali
Malta,Malta
Mexico,Mexico
Moldova,Moldova
Montenegro,Montenegro
Morocco,Morocco
Netherlands,Netherlands
New Zealand,New Zealand
Nigeria,Nigeria
Norway,Norway
Pakistan,Pakistan
Panama,Panama
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Puerto Rico,Puerto Rico
Romania,Romania
Russia,Russia
Rwanda,Rwanda
Saudi Arabia,Saudi Arabia
Serbia,Serbia
Singapore,Singapore
Slovak Rep,Slovakia
Slovenia,Slovenia
South Africa,South Africa
Spain,Spain
Suriname,Suriname
Sweden,Sweden
Switzerland,Switzerland
Taiwan,Taiwan
Tanzania,Tanzania
Thailand,Thailand
Trinidad and Tobago,Trinidad and Tobago
Turkey,Turkey
U.S.A.,United States
Uganda,Uganda
Ukraine,Ukraine
Uruguay,Uruguay
Venezuela,Venezuela
Vietnam,Vietnam
Zambia,Zambia
Zimbabwe,Zimbabwe
